dataset,method,variant,campaign_id,protocol_fingerprint,binary_sha256,run_id,run_kind,trace,measurement_mode,threads,query_contexts,coroutines,top_k,metric,ef,m,efc,query_suffix,lavd,index_region_bytes,lavd_region_bytes,env,recall,qps,p50_us,p95_us,p99_us,posts_per_q,bytes_per_q,processed,expected_queries,failed_queries,trace_csv,json,stderr,status
TEXT10M,SHINE,shine_path,vldb-frontier-text-sift-sw-final-v2-20260714,752f377752ddcbc47480038e1bce3921f419afa77dac825b5f1cf78f54e88fa0,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,r2,measure,0,fixed_query_pool,10,10,2,10,ip,800,16,100,u10k,0,17179869184,0,none,0.9548,314,63478.777,90205.86200000001,100246.278,9726.7568,7475442.7216,10000,10000,0,,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r2/TEXT10M_shine_path_r2_measure_T10_ef800.json,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r2/TEXT10M_shine_path_r2_measure_T10_ef800.err,ok
TEXT10M,SlabWalk,slabwalk_expansion,vldb-frontier-text-sift-sw-final-v2-20260714,ded9b20429b236118c2e855a67a5259b3f9a425e54900405ffbd576758705be7,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,r2,measure,0,fixed_query_pool,10,10,2,10,ip,800,16,100,u10k,8,17179869184,42949672960,SHINE_CRANE=1 GB_BITMAP_DEDUP=1 SHINE_LAVD_NATIVE_PACKED_WRITE=1 SHINE_LAVD_VARBLOCK=1 SHINE_LAVD_BUILD_THREADS=20 SHINE_LAVD_BUILD_CPU_BASE=1 SHINE_LAVD_BUILD_CPU_STRIDE=2,0.88136,2062,9528.478000000001,10744.845,14275.487000000001,821.0509,3729170.0224,10000,10000,0,,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r2/TEXT10M_slabwalk_expansion_r2_measure_T10_ef800.json,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r2/TEXT10M_slabwalk_expansion_r2_measure_T10_ef800.err,ok
SIFT10M,SHINE,shine_path,vldb-frontier-text-sift-sw-final-v2-20260714,7ef5e2ba0e1c294a2dedcdfa7cc98965d77cf8299e15fdba511e6777a70b79b5,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,r2,measure,0,fixed_query_pool,10,10,2,10,l2,64,16,100,uniform,0,17179869184,0,none,0.90657,2229,9109.989,11317.197,12539.079,1465.7615,751071.2348,10000,10000,0,,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r2/SIFT10M_shine_path_r2_measure_T10_ef64.json,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r2/SIFT10M_shine_path_r2_measure_T10_ef64.err,ok
SIFT10M,SlabWalk,slabwalk_expansion,vldb-frontier-text-sift-sw-final-v2-20260714,d58b218d4855fe23bf7698ae299c0a29bb2106661ea66a2b10c37ba21e12ca65,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,r2,measure,0,fixed_query_pool,10,10,2,10,l2,64,16,100,uniform,8,17179869184,42949672960,SHINE_CRANE=1 GB_BITMAP_DEDUP=1 SHINE_LAVD_NATIVE_PACKED_WRITE=1 SHINE_LAVD_VARBLOCK=1 SHINE_LAVD_BUILD_THREADS=20 SHINE_LAVD_BUILD_CPU_BASE=1 SHINE_LAVD_BUILD_CPU_STRIDE=2,0.90661,25690,746.126,857.237,965.197,67.6217,239400.7976,10000,10000,0,,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r2/SIFT10M_slabwalk_expansion_r2_measure_T10_ef64.json,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r2/SIFT10M_slabwalk_expansion_r2_measure_T10_ef64.err,ok
SIFT10M,SHINE,shine_path,vldb-frontier-text-sift-sw-final-v2-20260714,b983dbfe72ca790fcc5df8dfaaa7951deb5f5090ce25867fc050b49d8f4b74c6,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,r2,measure,0,fixed_query_pool,10,10,2,10,l2,96,16,100,uniform,0,17179869184,0,none,0.94151,1624,12619.971,15458.732,16582.252,2009.8959,1029952.5392,10000,10000,0,,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r2/SIFT10M_shine_path_r2_measure_T10_ef96.json,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r2/SIFT10M_shine_path_r2_measure_T10_ef96.err,ok
SIFT10M,SlabWalk,slabwalk_expansion,vldb-frontier-text-sift-sw-final-v2-20260714,8ccaa00d580c027e327f7e552962e79a9c56995d166b22127ec11e2276d3b562,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,r2,measure,0,fixed_query_pool,10,10,2,10,l2,96,16,100,uniform,8,17179869184,42949672960,SHINE_CRANE=1 GB_BITMAP_DEDUP=1 SHINE_LAVD_NATIVE_PACKED_WRITE=1 SHINE_LAVD_VARBLOCK=1 SHINE_LAVD_BUILD_THREADS=20 SHINE_LAVD_BUILD_CPU_BASE=1 SHINE_LAVD_BUILD_CPU_STRIDE=2,0.94134,17919,1086.348,1215.633,1319.55,99.0334,351374.7744,10000,10000,0,,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r2/SIFT10M_slabwalk_expansion_r2_measure_T10_ef96.json,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r2/SIFT10M_slabwalk_expansion_r2_measure_T10_ef96.err,ok
SIFT10M,SHINE,shine_path,vldb-frontier-text-sift-sw-final-v2-20260714,13504702126d2836092ca459987a598fb0ba7008f0f70c08a7624c4f126e7dd4,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,r2,measure,0,fixed_query_pool,10,10,2,10,l2,128,16,100,uniform,0,17179869184,0,none,0.95959,1277,16093.163,19778.349000000002,20962.412,2537.9867,1300294.322,10000,10000,0,,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r2/SIFT10M_shine_path_r2_measure_T10_ef128.json,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r2/SIFT10M_shine_path_r2_measure_T10_ef128.err,ok
SIFT10M,SlabWalk,slabwalk_expansion,vldb-frontier-text-sift-sw-final-v2-20260714,5be7b79f798865d9d6625cc7452f759484e9d2b7077410a0c3e38a20d31c67fa,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,r2,measure,0,fixed_query_pool,10,10,2,10,l2,128,16,100,uniform,8,17179869184,42949672960,SHINE_CRANE=1 GB_BITMAP_DEDUP=1 SHINE_LAVD_NATIVE_PACKED_WRITE=1 SHINE_LAVD_VARBLOCK=1 SHINE_LAVD_BUILD_THREADS=20 SHINE_LAVD_BUILD_CPU_BASE=1 SHINE_LAVD_BUILD_CPU_STRIDE=2,0.95937,13395,1414.462,1549.137,1633.81,130.7053,464116.2504,10000,10000,0,,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r2/SIFT10M_slabwalk_expansion_r2_measure_T10_ef128.json,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r2/SIFT10M_slabwalk_expansion_r2_measure_T10_ef128.err,ok
SIFT10M,SHINE,shine_path,vldb-frontier-text-sift-sw-final-v2-20260714,f79557b33117e64ecf5182cbec8bc465c6ac169a3a6a8be1c4fd2076dde10976,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,r2,measure,0,fixed_query_pool,10,10,2,10,l2,160,16,100,uniform,0,17179869184,0,none,0.97032,1060,19451.599000000002,23898.326,25247.201,3052.1095,1563222.7572,10000,10000,0,,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r2/SIFT10M_shine_path_r2_measure_T10_ef160.json,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r2/SIFT10M_shine_path_r2_measure_T10_ef160.err,ok
SIFT10M,SlabWalk,slabwalk_expansion,vldb-frontier-text-sift-sw-final-v2-20260714,35f87e16de5846bf22d1c12b63c11d73a0f05d7216c768c866d527a9259b518a,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,r2,measure,0,fixed_query_pool,10,10,2,10,l2,160,16,100,uniform,8,17179869184,42949672960,SHINE_CRANE=1 GB_BITMAP_DEDUP=1 SHINE_LAVD_NATIVE_PACKED_WRITE=1 SHINE_LAVD_VARBLOCK=1 SHINE_LAVD_BUILD_THREADS=20 SHINE_LAVD_BUILD_CPU_BASE=1 SHINE_LAVD_BUILD_CPU_STRIDE=2,0.9701,11187,1754.5330000000001,1914.729,1989.789,162.5001,576974.1832,10000,10000,0,,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r2/SIFT10M_slabwalk_expansion_r2_measure_T10_ef160.json,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r2/SIFT10M_slabwalk_expansion_r2_measure_T10_ef160.err,ok
SIFT10M,SHINE,shine_path,vldb-frontier-text-sift-sw-final-v2-20260714,d98d172dab183b41f6b4874848d8bc993717fb672a229b2d6116f2ab954a9034,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,r2,measure,0,fixed_query_pool,10,10,2,10,l2,200,16,100,uniform,0,17179869184,0,none,0.97866,876,23536.134000000002,29029.324,30587.396,3677.0338,1882515.0476,10000,10000,0,,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r2/SIFT10M_shine_path_r2_measure_T10_ef200.json,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r2/SIFT10M_shine_path_r2_measure_T10_ef200.err,ok
SIFT10M,SlabWalk,slabwalk_expansion,vldb-frontier-text-sift-sw-final-v2-20260714,0d4109a89425e887784bc05c0933c7ed56b03bb7f46a19361590a99fecb3e8c0,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,r2,measure,0,fixed_query_pool,10,10,2,10,l2,200,16,100,uniform,8,17179869184,42949672960,SHINE_CRANE=1 GB_BITMAP_DEDUP=1 SHINE_LAVD_NATIVE_PACKED_WRITE=1 SHINE_LAVD_VARBLOCK=1 SHINE_LAVD_BUILD_THREADS=20 SHINE_LAVD_BUILD_CPU_BASE=1 SHINE_LAVD_BUILD_CPU_STRIDE=2,0.97864,9109,2164.897,2345.928,2420.717,202.3396,718002.4032,10000,10000,0,,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r2/SIFT10M_slabwalk_expansion_r2_measure_T10_ef200.json,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r2/SIFT10M_slabwalk_expansion_r2_measure_T10_ef200.err,ok
SIFT10M,SHINE,shine_path,vldb-frontier-text-sift-sw-final-v2-20260714,b43afc8b0f7a1f635069bdf930c5ec1e8692f5146ad62c32e311c447365934e1,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,r2,measure,0,fixed_query_pool,10,10,2,10,l2,300,16,100,uniform,0,17179869184,0,none,0.98817,618,33352.346,41840.885,44024.588,5175.1149,2646781.8396,10000,10000,0,,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r2/SIFT10M_shine_path_r2_measure_T10_ef300.json,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r2/SIFT10M_shine_path_r2_measure_T10_ef300.err,ok
SIFT10M,SlabWalk,slabwalk_expansion,vldb-frontier-text-sift-sw-final-v2-20260714,81186a1688ad9bd8019fdae35d53a6b31fb032d5c5fb7b35d68a18c7509a5790,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,r2,measure,0,fixed_query_pool,10,10,2,10,l2,300,16,100,uniform,8,17179869184,42949672960,SHINE_CRANE=1 GB_BITMAP_DEDUP=1 SHINE_LAVD_NATIVE_PACKED_WRITE=1 SHINE_LAVD_VARBLOCK=1 SHINE_LAVD_BUILD_THREADS=20 SHINE_LAVD_BUILD_CPU_BASE=1 SHINE_LAVD_BUILD_CPU_STRIDE=2,0.98817,6204,3183.304,3434.022,3516.532,302.0309,1070020.3016,10000,10000,0,,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r2/SIFT10M_slabwalk_expansion_r2_measure_T10_ef300.json,/home/kvgroup/chaomei/graphbeyond-vldb-closure-20260713/evidence/frontier_text_sift_sw_final_v3_20260714/sw_r2/SIFT10M_slabwalk_expansion_r2_measure_T10_ef300.err,ok
